temperature,avg_cost,max_cost,min_cost
1,2.00915,2.05,1.96687
0.95,2.03803,2.09288,1.96727
0.9025,2.18288,2.21788,2.11371
0.857375,2.16788,2.21788,2.15538
0.814506,2.24121,2.42621,2.05121
0.773781,2.47163,2.48871,2.42621
0.735092,2.48384,2.53058,2.44705
0.698337,2.55642,2.65558,2.42642
0.66342,2.7635,2.88475,2.53058
0.630249,3.00475,3.05142,2.86392
0.598737,3.2374,3.34329,2.98892
0.5688,3.28634,3.34329,3.28079
0.54036,3.15391,3.28099,3.03099
0.513342,3.02307,3.07266,3.01016
0.487675,3.01099,3.05182,2.96849
0.463291,2.8799,3.05182,2.80587
0.440127,2.65991,2.8892,2.52068
0.41812,2.53693,2.60401,2.52068
0.397214,2.70066,2.81235,2.56235
0.377354,2.68225,2.71142,2.66975
0.358486,2.66517,2.75309,2.64892
0.340562,2.73369,2.79496,2.66996
0.323534,2.65765,2.7539,2.54556
0.307357,2.67999,2.7539,2.58804
0.291989,2.65637,2.67137,2.58804
0.27739,2.58732,2.65054,2.52554
0.26352,2.618,2.65115,2.58824
0.250344,2.5074,2.65115,2.46365
0.237827,2.56502,2.56802,2.54698
0.225936,2.70988,2.77655,2.56802
0.214639,2.79822,2.85989,2.75572
0.203907,2.80197,2.85989,2.73489
0.193711,2.78905,2.85989,2.75572
0.184026,2.84822,2.92239,2.81822
0.174825,2.98489,3.08905,2.92239
0.166083,2.95572,2.98489,2.92239
0.157779,2.81697,2.94322,2.75572
0.14989,2.6737,2.79739,2.50592
0.142396,2.478,2.52675,2.44342
0.135276,2.30509,2.46425,2.23509
0.128512,2.26217,2.29759,2.02675
0.122087,1.91384,2.08925,1.86009
0.115982,2.02092,2.04759,1.86009
0.110183,1.96842,2.00592,1.94342
0.104674,1.98925,2.15175,1.94342
0.0994403,2.08092,2.13092,2.00592
0.0944682,2.15467,2.23509,2.11009
0.0897448,2.24384,2.25592,2.21425
0.0852576,2.24967,2.29759,2.21425
0.0809947,2.27175,2.29759,2.23509
0.076945,2.28675,2.42259,2.19342
0.0730977,2.25717,2.36009,2.06842
0.0694428,2.47259,2.50592,2.36009
0.0659707,2.52092,2.67259,2.44342
0.0626722,2.58425,2.67259,2.48509
0.0595386,2.46717,2.50592,2.44342
0.0565616,2.46925,2.50592,2.44342
0.0537335,2.48809,2.50592,2.48509
0.0510469,2.41362,2.48529,2.38112
0.0484945,2.41612,2.44362,2.38112
0.0460698,2.35597,2.44362,2.2359
0.0437663,2.25923,2.27756,2.2359
0.041578,2.23131,2.25673,2.1734
0.0394991,2.16256,2.19423,2.1109
0.0375241,2.10559,2.15256,2.0486
0.0356479,2.07277,2.09027,2.02777
0.0338655,2.03193,2.09027,2.00693
0.0321723,1.99905,2.02777,1.88214
0.0305636,1.87185,1.90297,1.8613
0.0290355,1.83775,1.8615,1.81984
0.0275837,1.85484,1.88234,1.84067
0.0262045,1.774,1.84067,1.6115
0.0248943,1.60567,1.6115,1.59067
0.0236496,1.63942,1.65317,1.6115
0.0224671,1.48985,1.65317,1.44565
0.0213437,1.50171,1.50855,1.48752
0.0202765,1.52147,1.52939,1.50855
0.0192627,1.49605,1.50855,1.44605
0.0182996,1.44605,1.44605,1.44605
0.0173846,1.42147,1.44605,1.38355
0.0165154,1.39897,1.42522,1.34189
0.0156896,1.3573,1.36272,1.34189
0.0149051,1.30564,1.36272,1.27939
0.0141599,1.36272,1.36272,1.36272
0.0134519,1.35397,1.36272,1.32105
0.0127793,1.27772,1.34189,1.23772
0.0121403,1.23647,1.25855,1.21689
0.0115333,1.22355,1.23772,1.21689
0.0109566,1.23772,1.23772,1.23772
0.0104088,1.23814,1.25855,1.23772
0.00988836,1.24772,1.25855,1.23772
0.00939395,1.22272,1.23772,1.19605
0.00892425,1.19272,1.19605,1.17522
0.00847804,1.17522,1.17522,1.17522
0.00805413,1.16568,1.17522,1.13376
0.00765143,1.15042,1.15459,1.13376
0.00726886,1.13504,1.15459,0.947065
0.00690541,0.924601,0.947065,0.884565
0.00656014,0.847017,0.864136,0.82247
0.00623214,0.815172,0.822672,0.801839
0.00592053,0.802037,0.802041,0.801839
0.0056245,0.796244,0.802041,0.781208
0.00534328,0.76016,0.78141,0.739744
0.00507611,0.739744,0.739744,0.739744
