iteration,temp,current_cost,best_cost
100,0.95,1.09153,0.99262
200,0.857375,1.14361,0.99262
300,0.773781,1.18788,0.99262
400,0.698337,1.23211,0.99262
500,0.630249,1.26205,0.99262
600,0.5688,1.28635,0.99262
700,0.513342,1.25771,0.99262
800,0.463291,1.31239,0.99262
900,0.41812,1.27854,0.99262
1000,0.377354,1.30458,0.99262
1100,0.340562,1.30458,0.99262
1200,0.307357,1.2976,0.99262
1300,0.27739,1.29499,0.99262
1400,0.250344,1.30627,0.99262
1500,0.225936,1.30149,0.99262
1600,0.203907,1.28066,0.99262
1700,0.184026,1.27068,0.99262
1800,0.166083,1.27849,0.99262
1900,0.14989,1.31407,0.99262
2000,0.135276,1.29845,0.99262
2100,0.122087,1.32535,0.99262
2200,0.110183,1.34141,0.99262
2300,0.0994403,1.29453,0.99262
2400,0.0897448,1.26589,0.99262
2500,0.0809947,1.29062,0.99262
2600,0.0730977,1.34271,0.99262
2700,0.0659707,1.32448,0.99262
2800,0.0595386,1.31449,0.99262
2900,0.0537335,1.31449,0.99262
3000,0.0484945,1.32534,0.99262
3100,0.0437663,1.30972,0.99262
3200,0.0394991,1.2967,0.99262
3300,0.0356479,1.26674,0.99262
3400,0.0321723,1.27238,0.99262
3500,0.0290355,1.29625,0.99262
3600,0.0262045,1.25459,0.99262
3700,0.0236496,1.28106,0.99262
3800,0.0213437,1.27846,0.99262
3900,0.0192627,1.24981,0.99262
4000,0.0173846,1.23939,0.99262
4100,0.0156896,1.22941,0.99262
4200,0.0141599,1.23548,0.99262
4300,0.0127793,1.21638,0.99262
4400,0.0115333,1.22766,0.99262
4500,0.0104088,1.24328,0.99262
4600,0.00939395,1.24328,0.99262
4700,0.00847804,1.2754,0.99262
4800,0.00765143,1.27062,0.99262
4900,0.00690541,1.27887,0.99262
5000,0.00623214,1.27409,0.99262
5100,0.0056245,1.28234,0.99262
5200,0.00507611,1.26932,0.99262
