iteration,temp,current_cost,best_cost
100,0.975,1.25446,1.25446
200,0.926859,1.32955,1.17045
300,0.881096,1.65508,1.17045
400,0.837592,1.20722,1.17045
500,0.796236,1.44875,1.17045
600,0.756921,1.31907,1.17045
700,0.719548,1.75067,1.17045
800,0.684021,1.26604,1.17045
900,0.650247,1.26604,1.17045
1000,0.618141,1.42513,1.17045
1100,0.58762,1.49287,1.17045
1200,0.558607,1.28075,1.17045
1300,0.531026,1.51493,1.17045
1400,0.504806,1.68137,1.17045
1500,0.479881,1.68137,1.17045
1600,0.456187,1.37054,1.17045
1700,0.433663,1.43093,1.17045
1800,0.412251,1.53699,1.17045
1900,0.391896,1.43093,1.17045
2000,0.372546,1.3779,1.17045
2100,0.354152,1.59002,1.17045
2200,0.336665,1.71814,1.17045
2300,0.320043,1.55905,1.17045
2400,0.30424,1.5664,1.17045
2500,0.289219,1.66511,1.17045
2600,0.274938,1.45299,1.17045
2700,0.261363,1.61208,1.17045
2800,0.248459,1.5664,1.17045
2900,0.236191,1.52072,1.17045
3000,0.224529,1.42201,1.17045
3100,0.213443,1.44407,1.17045
3200,0.202904,1.44407,1.17045
3300,0.192886,1.39104,1.17045
3400,0.183362,1.39104,1.17045
3500,0.174308,1.44407,1.17045
3600,0.165702,1.39104,1.17045
3700,0.15752,1.61787,1.17045
3800,0.149743,1.42045,1.17045
3900,0.142349,1.42045,1.17045
4000,0.135321,1.47348,1.17045
4100,0.128639,1.43516,1.17045
4200,0.122288,1.65463,1.17045
4300,0.11625,1.44987,1.17045
4400,0.11051,1.65463,1.17045
4500,0.105054,1.44987,1.17045
4600,0.0998665,1.46457,1.17045
4700,0.0949356,1.47193,1.17045
4800,0.0902482,1.63837,1.17045
4900,0.0857922,1.60004,1.17045
5000,0.0815562,1.65307,1.17045
5100,0.0775294,1.6074,1.17045
5200,0.0737013,1.61475,1.17045
5300,0.0700623,1.61475,1.17045
5400,0.066603,1.8799,1.17045
5500,0.0633145,1.8799,1.17045
5600,0.0601883,1.66778,1.17045
5700,0.0572165,1.67513,1.17045
5800,0.0543915,1.83422,1.17045
5900,0.0517059,1.72816,1.17045
