temperature,avg_cost,max_cost,min_cost
1,1.55743,2,1.2471
0.975,1.46664,1.52696,1.32955
0.950625,1.41475,1.54167,1.22348
0.926859,1.37727,1.48864,1.27652
0.903688,1.4419,1.49599,1.3369
0.881096,1.39459,1.50334,1.19251
0.859068,1.39491,1.56373,1.3516
0.837592,1.42684,1.51805,1.35896
0.816652,1.41334,1.51805,1.2529
0.796236,1.40471,1.42669,1.37366
0.77633,1.46429,1.60049,1.38102
0.756921,1.44034,1.60049,1.38837
0.737998,1.34146,1.60049,1.22928
0.719548,1.35224,1.44875,1.23663
0.70156,1.2886,1.39572,1.23663
0.684021,1.49809,1.56217,1.39572
0.66692,1.5208,1.66823,1.29701
0.650247,1.34996,1.52384,1.25134
0.633991,1.53869,1.68293,1.47081
0.618141,1.66808,2.05414,1.47081
0.602688,1.49627,1.68293,1.36475
0.58762,1.61611,1.68293,1.47081
0.57293,1.70682,1.78899,1.68293
0.558607,1.69221,1.78899,1.53119
0.544642,1.61064,1.75067,1.48552
0.531026,1.69757,1.86408,1.5459
0.51775,1.48969,1.81105,1.43984
0.504806,1.44187,1.60628,1.33378
0.492186,1.32734,1.39416,1.2881
0.479881,1.35734,1.40152,1.34113
0.467884,1.4209,1.56061,1.40152
0.456187,1.44766,1.52228,1.40887
0.444783,1.61376,1.74176,1.41622
0.433663,1.75766,1.79479,1.68873
0.422821,1.76933,2.05994,1.52963
0.412251,2.14054,2.27206,2.11297
0.401945,2.18191,2.27206,1.95388
0.391896,1.90827,2.27206,1.79479
0.382099,2.271,2.37812,2.166
0.372546,2.20948,2.43115,2.00691
0.363232,1.9157,2.00691,1.79479
0.354152,1.70082,1.95388,1.53699
0.345298,1.66956,1.69608,1.59002
0.336665,1.67969,1.80949,1.54434
0.328249,1.83432,1.97594,1.76381
0.320043,2.03533,2.082,1.92291
0.312041,2.03215,2.082,1.97594
0.30424,2.00139,2.082,1.92291
0.296634,1.97368,2.0967,1.88458
0.289219,2.10943,2.20276,2.04367
0.281988,2.08185,2.20276,1.99064
0.274938,2.25898,2.46791,1.93761
0.268065,2.04261,2.46791,1.83155
0.261363,1.86867,1.93761,1.83155
0.254829,2.00231,2.04367,1.83155
0.248459,2.11473,2.52094,1.93761
0.242247,2.42484,2.52094,2.36185
0.236191,2.47122,2.57398,2.36185
0.230286,2.50822,2.57398,2.46791
0.224529,2.41382,2.57398,2.25579
0.218916,2.49528,2.95254,2.25579
0.213443,2.50225,2.63436,2.36921
0.208107,2.42111,2.53565,2.32353
0.202904,2.54732,2.74777,2.37656
0.197831,2.81967,2.86119,2.75512
0.192886,2.543,2.75512,2.43694
0.188064,2.37707,2.43694,2.33824
0.183362,2.51968,2.66377,2.2852
0.178778,2.67332,2.82286,2.61074
0.174308,2.50786,2.61074,2.13347
0.169951,2.17377,2.23953,2.08044
0.165702,2.30953,2.39862,2.08044
0.161559,2.17536,2.23953,2.13347
0.15752,2.16946,2.19385,2.14082
0.153582,2.20021,2.35294,2.14082
0.149743,2.30936,2.36029,2.24688
0.145999,2.30939,2.46635,2.2012
0.142349,2.28923,2.41332,2.25423
0.138791,2.36029,2.46635,2.30726
0.135321,1.88514,2.30726,1.77696
0.131938,2.1259,2.2012,1.98908
0.128639,2.1672,2.25423,2.04947
0.125423,2.02613,2.15553,1.99643
0.122288,2.25171,2.375,2.1025
0.119231,1.76197,2.375,1.63258
0.11625,1.61667,1.68561,1.52652
0.113344,1.69459,1.74599,1.63258
0.11051,1.56887,1.74599,1.53387
0.107747,1.5869,1.74599,1.53387
0.105054,1.82766,1.90508,1.74599
0.102427,1.95657,2.12455,1.80637
0.0998665,1.96546,2.01849,1.8594
0.0973699,1.85516,1.91243,1.80637
0.0949356,1.85963,1.91979,1.80637
0.0925622,1.97494,2.02585,1.91979
0.0902482,1.92191,2.07888,1.81373
0.087992,1.87477,1.91979,1.76805
0.0857922,1.91759,1.92714,1.76805
0.0836474,1.89693,1.98752,1.7754
0.0815562,1.82279,1.94184,1.7754
0.0795173,1.98427,2.04791,1.94184
0.0775294,2.03624,2.10094,1.99488
0.0755911,1.95254,2.00223,1.94184
0.0737013,1.99636,2.06261,1.9492
0.0718588,2.05376,2.17602,2.00958
0.0700623,1.95648,2.01693,1.91087
0.0683108,1.8833,2.01693,1.85784
0.066603,1.95754,2.01693,1.91087
0.0649379,1.93341,1.9639,1.91087
0.0633145,1.87891,1.92558,1.81952
0.0617316,1.76973,1.87255,1.75914
0.0601883,1.6906,1.81952,1.55437
0.0586836,1.61518,1.66043,1.55437
0.0572165,1.6955,1.75914,1.65307
0.0557861,1.79626,1.91823,1.75914
0.0543915,1.77611,1.81217,1.70611
0.0530317,1.79838,1.81217,1.75914
0.0517059,1.73898,1.81217,1.65307
0.0504132,1.73368,1.81217,1.60004
